Code,Name,Type,Latitude,Longitude,Sector,Open/Closed,State,Local_Hospital_Network_(LHN),Primary_Health_Network_area_(PHN),Min_Beds,Max_Beds,Website,Elective_Surgery_High_Level,Elective_Surgery_Low_Level,Establishment_ID,Medicare_provider_no,Network_code,Hospital_Network,Remoteness_area,Number_of_available_beds,Peer_group_name,Establishments_data,Morbidity_data,Emergency_department_data,Elective_Surgery_Waiting_times_data,Non_admitted_patient_aggregate_data,IHPA_funding_designation,Phone_number,Street_address,Suburb,Postcode
H0012,State Forensic Mental Health Service,Hospital,-31.960937,115.788431,Public,Open,Western Australia,North Metropolitan Health Service (WA),Perth North,50,50,www.health.wa.gov.au/services/detail.cfm?Unit_ID=71,,,1117C1010,0012860K,119,Justice Health & Forensic Mental Health,Major Cities,0,Unknown,Yes,Yes,No,No,Yes,Funding not designated/Unknown,08 9347 6960,Brockway Road,Mount Claremont,6010
H0049,Illawarra Mental Health Services,Hospital,-34.42623,150.891252,Public,Open,New South Wales,Illawarra Shoalhaven,South Eastern NSW,0,0,,,,1173P2170,0,108,Illawarra Shoalhaven,Major Cities,0,Unpeered,Yes,No,No,No,No,Block-funded hospital,,,,2500
H0095,Bulahdelah Hospital,Hospital,-32.403949,152.210029,Public,Open,New South Wales,Hunter New England,Hunter New England and Central Coast,50,50,,,,1180J2230,0010840J,109,Hunter New England,Inner Regional,0,Very small,Yes,No,Yes,No,Yes,Block-funded hospital,02 4987 9900,Richmond Street,Bulahdelah,2423
H0117,Bonalbo Hospital,Hospital,-28.733777,152.622789,Public,Open,New South Wales,Northern NSW,North Coast,50,50,,,,1181H2070,0010760J,111,Northern NSW,Outer Regional,0,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital,02 6665 1203,Clarence Way,Bonalbo,2469
H0273,Bendigo Health Care Group [Anne Caudle],Hospital,-36.750919,144.280399,Public,Open,Victoria,Bendigo Health Care Group,Murray,50,99,www.bendigohealth.com.au,,,210301022,0,210,Bendigo Health Care Group,Inner Regional,0,Mixed subacute and non-acute,Yes,No,No,No,Yes,Activity-based funded hospital,03 5454 6000,100 Barnard Street,Bendigo,3550
H0281,Swan Hill District Health [Nyah],Hospital,-35.186052,143.355428,Public,Open,Victoria,Swan Hill District Health,Murray,50,50,,,,210301492,0,212,Swan Hill District Health,Outer Regional,0,Very small,Yes,No,No,No,No,Activity-based funded hospital,03 5030 2572,Monash Avenue,Nyah West,3595
H0577,McLaren Vale & Districts War Memorial Hospital Inc,Hospital,-35.221405,138.544962,Public,Open,South Australia,Country Health SA,Adelaide,50,50,www.mclarenvalehospital.com.au,,,41MO00036,0,404,Country Health SA,Major Cities,0,Public acute group D,Yes,Yes,No,No,No,Activity-based funded hospital,08 8323 6600,3 Aldersey Street,McLaren Vale,5171
H0677,Dumbleyung Memorial Hospital,Hospital,-33.310409,117.740499,Public,Open,Western Australia,WA Country Health Service,Country WA,50,50,www.health.wa.gov.au/services/detail.cfm?Unit_ID=50,,,510700408,0070270X,503,WA Country Health Service,Remote,0,Very small,Yes,Yes,No,No,Yes,Block-funded hospital,08 9863 5222,Mcintyre Street,Dumbleyung,6350
H0752,Karratha Health Campus,Hospital,-20.732208,116.839511,Public,Open,Western Australia,WA Country Health Service,Country WA,0,0,,"Ear, nose and throat surgery,General surgery,Gynaecology,Ophthalmology,Orthopaedic surgery,Other surgery,Plastic surgery,","Anal fissure - repair of,Anterior cruciate ligament reconstruction,Arthroscopy,Bartholin's cyst - removal of,Carpal tunnel release,Cataract extraction (with or without intra-ocular lens insertion),Cholecystectomy (open/laparoscopic),Circumcision,Cystoscopy,Ectropion - correction of,Endometrial ablation,Female sterilisation,Ganglion - excision of,Haemorrhoidectomy,Herniorrhaphy,Hydrocele - repair of,Hysterectomy (abdominal/vaginal/laparoscopic),Hysteroscopy, dilatation and curettage,Inguinal herniotomy/herniorrhaphy,Laparoscopy,Large loop excision of the transformation zone cervix (LLETZ),Myringoplasty/tympanoplasty,Myringotomy,Myringotomy (without insertion of grommets),Orchidectomy,Pilonidal sinus surgery,Pterygium - excision of,Rotator cuff - repair of,Salpingo-oophorectomy/oophorectomy/ovarian cystectomy,Scar revision,Shoulder reconstruction,Skin lesion - excision of,Thyroidectomy/hemi-thyroidectomy,Toenail surgery,Vaginal repair - anterior/posterior,Varicose veins treatment,",510500132,0071540F,503,WA Country Health Service,Remote,0,Public acute group C,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital,,,,
H0753,Northern Beaches Hospital,Hospital,-33.750646,151.23377,Public,Open,New South Wales,Northern Sydney,Northern Sydney,0,0,,"Cardio-thoracic surgery,Ear, nose and throat surgery,General surgery,Gynaecology,Orthopaedic surgery,Paediatric surgery,Plastic surgery,Urology,","Acromioplasty/arthroscopy shoulder/sub acromial decompression,Adenoidectomy,Anal fissure - repair of,Anterior cruciate ligament reconstruction,Arthrodesis,Arthroscopy,Bartholin's abscess drainage,Breast lump - excision and/or biopsy,Breast prosthesis - removal of,Bunion (hallux valgus) - removal of,Carpal tunnel release,Cholecystectomy (open/laparoscopic),Circumcision,Colectomy/anterior resection/large bowel resection,Curettage and evacuation of uterus,Cystoscopy,Dialysis access surgery,Dupytren's contracture release,Endometrial ablation,Epididymal cyst - removal of,Female sterilisation,Fracture non-union - treatment of,Functional endoscopic sinus surgery,Ganglion - excision of,Haemorrhoidectomy,Hammer/claw/mallet toe - correction of,Herniorrhaphy,Hydrocele - repair of,Hysterectomy (abdominal/vaginal/laparoscopic),Hysteroscopy, dilatation and curettage,Inguinal herniotomy/herniorrhaphy,Laparoscopy,Large loop excision of the transformation zone cervix (LLETZ),Lingual or maxillary frenulum surgery,Lithotripsy,Mastectomy,Mastoidectomy,Meniscectomy,Microlaryngoscopy,Muscle or tendon length - change of,Myomectomy,Myringoplasty/tympanoplasty,Myringotomy,Myringotomy (without insertion of grommets),Nasal polypectomy,Nasendoscopy,Nerve decompression,Osteotomy,Parotidectomy/submandibular gland - excision of,Pilonidal sinus surgery,Pressure equalising tubes (grommets) - insertion of,Prostate biopsy,Prostatectomy (transurethral or open),Repair of obstructing hiatus hernia,Rhinoplasty,Rotator cuff - repair of,Salpingo-oophorectomy/oophorectomy/ovarian cystectomy,Scar revision,Septoplasty,Shoulder joint replacement,Shoulder reconstruction,Skin lesion - excision of,Stone/s urinary tract - removal of,Tendon release,Thyroidectomy/hemi-thyroidectomy,Toenail surgery,Tonsillectomy (with or without adenoidectomy),Total hip replacement,Total knee replacement,Trigger finger/thumb release,Turbinectomy,Ureteric stent - insertion of,Vaginal repair - anterior/posterior,Varicose veins treatment,",1276B3590,0017590Y,106,Northern Sydney,Major Cities,0,Public acute group A,Yes,Yes,Yes,Yes,No,Funding not designated/Unknown,,,,
H1016,Goodooga Health Service,Hospital,-29.110249,147.456114,Public,Open,New South Wales,Western NSW,Western NSW,50,50,,,,1185K2140,0011260Y,112,Western NSW,Very remote,0,Outpatient hospital,Yes,No,No,No,Yes,Block-funded hospital,02 6829 6311,49 Hammond Street,Goodooga,2831
H1018,Ivanhoe Hospital,Hospital,-32.898193,144.298904,Public,Open,New South Wales,Far West,Western NSW,50,50,,,,1186S2020,0011490H,115,Far West,Very remote,0,Outpatient hospital,Yes,No,Yes,No,Yes,Block-funded hospital,02 6990 2200,11 Columbus Street,Ivanhoe,2878
H1024,Menindee Health Service,Hospital,-32.390335,142.414869,Public,Open,New South Wales,Far West,Western NSW,50,50,,,,1186K1010,0,115,Far West,Very remote,0,Outpatient hospital,Yes,No,Yes,No,Yes,Block-funded hospital,08 8091 4209,Perry Street,Menindee,2879
H1034,Sydney Dental Hospital,Hospital,-33.884469,151.207811,Public,Open,New South Wales,South Eastern Sydney,Central and Eastern Sydney,50,50,www.sswahs.nsw.gov.au/sydneydentalhospital,,,1170C1530,0,102,Sydney,Major Cities,0,Unpeered,Yes,No,No,No,Yes,Block-funded hospital,02 9293 3200,2 Chalmers Street,Surry Hills,2010
H1038,Tibooburra Health Service,Hospital,-29.433211,142.012817,Public,Open,New South Wales,Far West,Western NSW,50,50,,,,1186S2030,0012120B,115,Far West,Very remote,0,Outpatient hospital,Yes,No,Yes,No,Yes,Block-funded hospital,,,,
H0035,Gower Wilson Multi Purpose Service,Hospital,-31.535603,159.071307,Public,Open,New South Wales,South Eastern Sydney,Central and Eastern Sydney,50,50,www.seslhd.health.nsw.gov.au/Health_Services/LordHoweIsland.asp,,,1172C2050,0011290T,101,South Eastern Sydney,Very remote,0.1,Very small,Yes,Yes,No,No,Yes,Block-funded hospital,02 6563 2000,Lagoon Road,Lord Howe Island,2898
H0687,Wyalkatchem-Koorda and Districts Hospital,Hospital,-31.176246,117.386212,Public,Open,Western Australia,WA Country Health Service,Country WA,50,50,www.health.wa.gov.au/services/detail.cfm?Unit_ID=194,,,510700438,0070790W,503,WA Country Health Service,Outer Regional,1.2,Very small,Yes,Yes,No,No,Yes,Block-funded hospital,08 9692 1222,Honour Avenue,Wyalkatchem,6485
H0296,East Wimmera Health Service [Charlton],Hospital,-36.271037,143.345889,Public,Open,Victoria,East Wimmera Health Service,Murray,50,50,www.ewhs.org.au,,,210304130,0,205,East Wimmera Health Service,Outer Regional,2,Very small,Yes,Yes,No,No,No,Block-funded hospital,03 5477 6800,4 Menzies Street,Charlton,3525
H0653,Paraburdoo Hospital,Hospital,-23.203031,117.670633,Public,Open,Western Australia,WA Country Health Service,Country WA,50,50,www.health.wa.gov.au/services/detail.cfm?Unit_ID=254,,,510500267,0071240W,503,WA Country Health Service,Very remote,2,Very small,Yes,Yes,No,No,Yes,Block-funded hospital,08 9159 8222,Lot 608 Rocklea Road,Paraburdoo,6754
H5443,Tasman Health Care Day Infusion Unit,Hospital,-27.970409,153.407806,Private,Open,Queensland,,,0,0,,,,611000061,0,604,0,Outer Regional,2,Very small,Yes,Yes,No,No,No,Block-funded hospital,,,,
H0664,Dongara Eneabba Mingenew Health Service,Hospital,-29.265173,114.934179,Public,Open,Western Australia,WA Country Health Service,Country WA,50,50,www.health.wa.gov.au/services/detail.cfm?Unit_ID=226,,,510600476,0071570Y,503,WA Country Health Service,Outer Regional,2.3,Very small,Yes,Yes,No,No,Yes,Block-funded hospital,08 9927 0200,48 Blenheim Road,Dongara,6525
H0695,Denmark Hospital and Health Service,Hospital,-34.957977,117.353489,Public,Open,Western Australia,WA Country Health Service,Country WA,50,50,www.health.wa.gov.au/services/detail.cfm?Unit_ID=46,,,510900214,0070240B,503,WA Country Health Service,Outer Regional,2.7,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital,08 9848 0600,50 Scotsdale Road,Denmark,6333
H0447,Mungindi Hospital,Hospital,-28.972817,148.989061,Public,Open,Queensland,South West (Qld),Western Queensland,50,50,www.health.qld.gov.au/services/southwest/swest_mungin_hosp.asp,,,310000117,0,326,South West (Qld),Remote,3,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital,02 6705 6100,Barwon Street,Mungindi,2406
H0459,Moura Hospital,Hospital,-24.575948,149.975999,Public,Open,Queensland,Central Queensland,"Central Queensland, Wide Bay and Sunshine Coast",50,50,www.health.qld.gov.au/services/central-queensland/moura.asp,,,310000140,0,316,Central Queensland,Outer Regional,3,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital,07 4997 2900,14 Nott Street,Moura,4718
H0674,Corrigin Hospital,Hospital,-32.324419,117.878816,Public,Open,Western Australia,WA Country Health Service,Country WA,50,50,www.health.wa.gov.au/services/detail.cfm?Unit_ID=43,,,510700404,0070190X,503,WA Country Health Service,Remote,3,Very small,Yes,Yes,No,No,Yes,Block-funded hospital,08 9063 0333,49 Kirkwood Street,Corrigin,6375
H0680,Kondinin Hospital,Hospital,-32.488949,118.265439,Public,Open,Western Australia,WA Country Health Service,Country WA,50,50,www.health.wa.gov.au/services/detail.cfm?Unit_ID=94,,,510700413,0070420Y,503,WA Country Health Service,Remote,3,Very small,Yes,Yes,No,No,Yes,Block-funded hospital,,,,
H0683,Narembeen Memorial Hospital,Hospital,-32.061618,118.391289,Public,Open,Western Australia,WA Country Health Service,Country WA,50,50,www.health.wa.gov.au/services/detail.cfm?Unit_ID=127,,,510700423,0070590B,503,WA Country Health Service,Remote,3,Very small,Yes,Yes,No,No,Yes,Block-funded hospital,08 9064 6222,Ada Street,Narembeen,6369
H0689,Esperance Hospital,Hospital,-33.856188,121.892205,Public,Open,Western Australia,WA Country Health Service,Country WA,50,50,www.health.wa.gov.au/services/detail.cfm?Unit_ID=55,"Ear, nose and throat surgery,General surgery,Gynaecology,Ophthalmology,Orthopaedic surgery,Other surgery,Urology,","Acromioplasty/arthroscopy shoulder/sub acromial decompression,Adenoidectomy,Anterior cruciate ligament reconstruction,Arthroscopy,Blepharoplasty,Carpal tunnel release,Cataract extraction (with or without intra-ocular lens insertion),Cholecystectomy (open/laparoscopic),Circumcision,Curettage and evacuation of uterus,Cystoscopy,Dupytren's contracture release,Ectropion - correction of,Haemorrhoidectomy,Herniorrhaphy,Hydrocele - repair of,Hysteroscopy, dilatation and curettage,Inguinal herniotomy/herniorrhaphy,Large loop excision of the transformation zone cervix (LLETZ),Myringoplasty/tympanoplasty,Osteotomy,Pilonidal sinus surgery,Prostate biopsy,Pterygium - excision of,Rotator cuff - repair of,Skin lesion - excision of,Toenail surgery,Trigger finger/thumb release,",611000060,0,604,0,Outer Regional,3,Very small,Yes,Yes,No,No,No,Block-funded hospital,08 9071 0888,Hicks Street,Esperance,6450
H0692,Leonora Hospital,Hospital,-28.894319,121.337492,Public,Open,Western Australia,WA Country Health Service,Country WA,50,50,www.health.wa.gov.au/services/detail.cfm?Unit_ID=107,,,510800273,0070460L,503,WA Country Health Service,Very remote,3.4,Very small,Yes,Yes,No,No,Yes,Block-funded hospital,08 9080 4300,Sadie Canning Drive,Leonora,6438
H0661,Northampton Kalbarri Health Service,Hospital,-28.351194,114.635119,Public,Open,Western Australia,WA Country Health Service,Country WA,50,50,www.health.wa.gov.au/services/detail.cfm?Unit_ID=138,,,510600425,0070640J,503,WA Country Health Service,Outer Regional,3.7,Very small,Yes,Yes,No,No,Yes,Block-funded hospital,08 9934 0200,Stephen Street,Northampton,6535
H0678,Kellerberrin Memorial Hospital,Hospital,-31.628902,117.716531,Public,Open,Western Australia,WA Country Health Service,Country WA,50,50,www.health.wa.gov.au/services/detail.cfm?Unit_ID=89,,,510700409,0070390K,503,WA Country Health Service,Outer Regional,3.9,Very small,Yes,Yes,No,No,Yes,Block-funded hospital,08 9045 6222,51-63 Gregory Street,Kellerberrin,6410
H0194,Gulgong Multi Purpose Service,Hospital,-32.366871,149.521893,Public,Open,New South Wales,Western NSW,Western NSW,0,0,,,,1185K2150,0011350X,112,Western NSW,Outer Regional,4,Outpatient hospital,Yes,Yes,Yes,No,Yes,Block-funded hospital,02 6374 3400,34 Goolma Road,Gulgong,2852
H0216,Peak Hill Multipurpose Service,Hospital,-32.735907,148.199615,Public,Open,New South Wales,Western NSW,Western NSW,50,50,,,,1185L2180,0011950W,112,Western NSW,Outer Regional,4,Very small,Yes,Yes,Yes,No,Yes,Block-funded hospital,02 6861 7100,111 Newell Highway,Peak Hill,2869
H0237,Otway Health & Community Services [Apollo Bay],Hospital,-38.753853,143.664264,Public,Open,Victoria,Otway Health and Community Services (Apollo Bay),Western Victoria,50,50,www.swarh.com.au/otway,,,210102020,0,230,Otway Health and Community Services (Apollo Bay),Inner Regional,4,Very small,Yes,Yes,No,No,No,Block-funded hospital,03 5237 8500,37-43 Mclachlan Street,Apollo Bay,3233
H0247,Lorne Community Hospital,Hospital,-38.545513,143.980743,Public,Open,Victoria,Lorne Community Hospital,Western Victoria,50,50,lch.org.au,,,210102550,0,232,Lorne Community Hospital,Inner Regional,4,Public acute group D,Yes,Yes,No,No,No,Block-funded hospital,03 5289 4300,1 Albert Street,Lorne,3232
H0254,Rural Northwest Health [Hopetoun],Hospital,-35.732201,142.366411,Public,Open,Victoria,Rural Northwest Health (Vic),Western Victoria,50,50,www.rnh.net.au,,,210201572,0,274,Rural Northwest Health (Vic),Outer Regional,4,Very small,Yes,Yes,No,No,No,Block-funded hospital,03 5083 2000,12 Mitchell Place,Hopetoun,3396
